"Population"	"Species"	"Date"	"Month"	"Quadrat"	"Cauloid_size"	"Leaf_size"	"Fertility"	"Stage"	"Subpopulation"	"Year"	"uniq_id"
"1"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"1"	9	11	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"2"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"1"	6	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"3"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"1"	5	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"4"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"1"	5	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"5"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"1"	4	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"6"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"1"	6	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"7"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"1"	6	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"8"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"1"	8	8.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"9"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"2"	5	6	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"10"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"2"	7	8	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"11"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"2"	4	5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"12"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"2"	10	13	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"13"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"2"	7	8	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"14"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"2"	5	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"15"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"2"	2	3	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"16"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"3"	4.5	4.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"17"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"3"	3.5	3.5	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
"18"	"Cala Estreta"	"Ericaria mediterranea"	2020-02-04	"February"	"3"	5.5	7	0	"Adult"	"CE"	2020	"CE_med_Feb_20"
