"Population"	"Species"	"env_var"	"lag"	"corr"
"1"	"Cala Estreta"	"Ericaria crinita"	"sst"	-6	0.289284812203855
"2"	"Cala Estreta"	"Ericaria crinita"	"sst"	-5	-0.0128534940501191
"3"	"Cala Estreta"	"Ericaria crinita"	"sst"	-4	-0.292774133819835
"4"	"Cala Estreta"	"Ericaria crinita"	"sst"	-3	-0.478990932090435
"5"	"Cala Estreta"	"Ericaria crinita"	"sst"	-2	-0.415150299443833
"6"	"Cala Estreta"	"Ericaria crinita"	"sst"	-1	-0.136049271730823
"7"	"Cala Estreta"	"Ericaria crinita"	"sst"	0	0.227382278911104
"8"	"Cala Estreta"	"Ericaria crinita"	"sst"	1	0.447941139143558
"9"	"Cala Estreta"	"Ericaria crinita"	"sst"	2	0.470612472736741
"10"	"Cala Estreta"	"Ericaria crinita"	"sst"	3	0.20154601903228
"11"	"Cala Estreta"	"Ericaria crinita"	"sst"	4	-0.130268700609307
"12"	"Cala Estreta"	"Ericaria crinita"	"sst"	5	-0.297799714518218
"13"	"Cala Estreta"	"Ericaria crinita"	"sst"	6	-0.287821700677791
"14"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	-6	0.352182523399799
"15"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	-5	0.145245271303087
"16"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	-4	-0.0687758253800399
"17"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	-3	-0.458999293788629
"18"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	-2	-0.508291526479411
"19"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	-1	-0.260958685621382
"20"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	0	0.121727888543707
"21"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	1	0.225395516449062
"22"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	2	0.348383119345796
"23"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	3	0.243839159628295
"24"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	4	0.0678075517826363
"25"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	5	-0.152399620296888
"26"	"Cala Estreta"	"Ericaria crinita"	"bot_t"	6	-0.329184806302189
"27"	"Cala Estreta"	"Ericaria crinita"	"photoperiod"	-6	-0.149182102396555
"28"	"Cala Estreta"	"Ericaria crinita"	"photoperiod"	-5	-0.397549137570903
"29"	"Cala Estreta"	"Ericaria crinita"	"photoperiod"	-4	-0.521318320812549
"30"	"Cala Estreta"	"Ericaria crinita"	"photoperiod"	-3	-0.324529353367229
"31"	"Cala Estreta"	"Ericaria crinita"	"photoperiod"	-2	0.0248717673607647
"32"	"Cala Estreta"	"Ericaria crinita"	"photoperiod"	-1	0.383706929173693
