Species	Country	Locality	Date	Year	Month	Temperature	Código	F0 (%)	F1 (%)	F2 (%)	F3 (%)	F4 (%)				
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2020	January 		J20									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2020	February		F20									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2020	March		M20									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2020	April		A20									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2020	May		M20									
C. brachycarpa_confirm	France	Plages Ondes, Antibes	16/06/2020	2020	June		J20	77	5	0	9	8				
C. brachycarpa_confirm	France	Plages Ondes, Antibes	17/07/2020	2020	July		J20	41	5	4	15	35				
C. brachycarpa_confirm	France	Plages Ondes, Antibes	05/08/2020	2020	Agost		A20	100	0	0	0	0				
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2020	September		S20									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2020	October		O20									
C. brachycarpa_confirm	France	Plages Ondes, Antibes	13/11/2020	2020	November		N20	100	0	0	0	0				
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2020	December 		D20									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2021	January 		J21									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2021	February	14,0	F21									
C. brachycarpa_confirm	France	Plages Ondes, Antibes	23/03/2021	2021	March	13,6	M21	49	33	14	3	0				
C. brachycarpa_confirm	France	Plages Ondes, Antibes	16/04/2021	2021	April	16,0	A21	21	21	18	28	13				
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2021	May	17,7	M21									
C. brachycarpa_confirm	France	Plages Ondes, Antibes	11/06/2021	2021	June	23,6	J21	16	18	24	24	18				
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2021	July	25,3	J21									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2021	Agost	25,5	A21									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2021	September	23,9	S21									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2021	October	20,6	O21									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2021	November	16,9	N21									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2021	December 	14,7	D21									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	January 	13,3	J22									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	February	13,4	F22									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	March	13,1	M22									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	April	15,6	A22									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	May	21,4	M22									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	June	24,1	J22									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	July		J22									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	Agost		A22									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	September		S22									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	October		O22									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	November		N22									
C. brachycarpa_confirm	France	Plages Ondes, Antibes		2022	December 		D22									
C. compressa	Greece	Eleochori - Site 2		2020	January 		J20									
C. compressa	Greece	Eleochori - Site 2		2020	February		F20									
C. compressa	Greece	Eleochori - Site 2	11/03/2020	2020	March	13,9	M20	100	0	0	0	0				
C. compressa	Greece	Eleochori - Site 2		2020	April	14,6	A20									
C. compressa	Greece	Eleochori - Site 2		2020	May	20,0	M20									
C. compressa	Greece	Eleochori - Site 2	22/06/2020	2020	June	22,8	J20	21	0	0	0	79				
C. compressa	Greece	Eleochori - Site 2		2020	July	27,1	J20									
C. compressa	Greece	Eleochori - Site 2		2020	Agost	26,9	A20									
C. compressa	Greece	Eleochori - Site 2	16/09/2020	2020	September	25,6	S20	100	0	0	0	0				
C. compressa	Greece	Eleochori - Site 2		2020	October	22,5	O20									
C. compressa	Greece	Eleochori - Site 2		2020	November	18,6	N20									
C. compressa	Greece	Eleochori - Site 2		2020	December 	15,4	D20									
C. compressa	Greece	Eleochori - Site 2		2021	January 	13,2	J21									
C. compressa	Greece	Eleochori - Site 2		2021	February	13,2	F21	100	0	0	0	0				
C. compressa	Greece	Eleochori - Site 2		2021	March	13,1	M21	100	0	0	0	0				
C. compressa	Greece	Eleochori - Site 2	21/04/2021	2021	April	15,0	A21	100	0	0	0	0				
C. compressa	Greece	Eleochori - Site 2	12/05/2021	2021	May	20,3	M21	100	0	0	0	0				
C. compressa	Greece	Eleochori - Site 2	07/06/2021	2021	June	24,6	J21	100	0	0	0	0				
C. compressa	Greece	Eleochori - Site 2	07/07/2021	2021	July	28,8	J21	100	0	0	0	0				
C. compressa	Greece	Eleochori - Site 2		2021	Agost	29,0	A21									
C. compressa	Greece	Eleochori - Site 2		2021	September	25,4	S21									
C. compressa	Greece	Eleochori - Site 2		2021	October		O21									
C. compressa	Greece	Eleochori - Site 2		2021	November		N21									
C. compressa	Greece	Eleochori - Site 2		2021	December 		D21									
C. compressa	Greece	Eleochori - Site 2		2022	January 		J22									
C. compressa	Greece	Eleochori - Site 2		2022	February		F22									
C. compressa	Greece	Eleochori - Site 2		2022	March		M22									
C. compressa	Greece	Eleochori - Site 2		2022	April		A22									
C. compressa	Greece	Eleochori - Site 2		2022	May		M22									
C. compressa	Greece	Eleochori - Site 2		2022	June		J22									
C. compressa	Greece	Eleochori - Site 2		2022	July		J22									
C. compressa	Greece	Eleochori - Site 2		2022	Agost		A22									
C. compressa	Greece	Eleochori - Site 2		2022	September		S22									
C. compressa	Greece	Eleochori - Site 2		2022	October		O22									
C. compressa	Greece	Eleochori - Site 2		2022	November		N22									
C. compressa	Greece	Eleochori - Site 2		2022	December 		D22									
C. elegans	Spain	Port de la Selva		2020	January 	12,91	J20									
C. elegans	Spain	Port de la Selva		2020	February	13,39	F20									
C. elegans	Spain	Port de la Selva	12/03/2020	2020	March		M20	100	0	0	0	0				
C. elegans	Spain	Port de la Selva		2020	April		A20									
C. elegans	Spain	Port de la Selva	01/05/2020	2020	May	20,3	M20	99	1	0	0	0				
C. elegans	Spain	Port de la Selva	25/06/2020	2020	June	22,4	J20	36	14	18	18	14				
C. elegans	Spain	Port de la Selva	31/07/2020	2020	July	24,6	J20	26	23	25	15	11				
C. elegans	Spain	Port de la Selva	25/08/2020	2020	Agost	22,0	A20	100	0	0	0	0				
C. elegans	Spain	Port de la Selva	23/09/2020	2020	September	17,3	S20	100	0	0	0	0				
C. elegans	Spain	Port de la Selva	19/10/2020	2020	October	17,4	O20	97	3	0	0	0				
