Species	Country	Locality	Date	Year	Month	Temperature	Código	F0 (%)	F1 (%)	F2 (%)	F3 (%)	F4 (%)	M0 (%)	M1(%)	M2 (%)	
E. crinita	Italy	Frigole (Lecce)	09/02/2020	2020	January 		J20	95	4	2	0	0	100	0	0	
E. crinita	Italy	Frigole (Lecce)		2020	February		F20									
E. crinita	Italy	Frigole (Lecce)		2020	March		M20									
E. crinita	Italy	Frigole (Lecce)		2020	April		A20									
E. crinita	Italy	Frigole (Lecce)	30/05/2020	2020	May		M20	0	74	23	3	0				
E. crinita	Italy	Frigole (Lecce)		2020	June		J20									
E. crinita	Italy	Frigole (Lecce)	29/07/2020	2020	July	28,1	J20	100	0	0	0	0				
E. crinita	Italy	Frigole (Lecce)	25/08/2020	2020	Agost	27,8	A20	100	0	0	0	0	100	0	0	
E. crinita	Italy	Frigole (Lecce)		2020	September	25,3	S20						40	52	8	
E. crinita	Italy	Frigole (Lecce)	01/10/2020	2020	October	20,2	O20	100	0	0	0	0				
E. crinita	Italy	Frigole (Lecce)	23/11/2020	2020	November	17,3	N20	100	0	0	0	0	100	0	0	
E. crinita	Italy	Frigole (Lecce)	18/12/2020	2020	December 	14,7	D20	7	89	4	0	0	44	52	4	
E. crinita	Italy	Frigole (Lecce)		2021	January 	12,4	J21						100	0	0	
E. crinita	Italy	Frigole (Lecce)	26/02/2021	2021	February	12,7	F21	5	6	90	0	0	0	100	0	
E. crinita	Italy	Frigole (Lecce)	27/03/2021	2021	March	12,9	M21	5	28	45	23	0	0	88	12	
E. crinita	Italy	Frigole (Lecce)		2021	April	16,7	A21									
E. crinita	Italy	Frigole (Lecce)	19/05/2021	2021	May	21,7	M21	0	18	31	15	36	0	68	32	
E. crinita	Italy	Frigole (Lecce)	28/06/2021	2021	June	24,0	J21	100	0	0	0	0	100	0	0	
E. crinita	Italy	Frigole (Lecce)	20/07/2021	2021	July	27,4	J21	100	0	0	0	0	100	0	0	
E. crinita	Italy	Frigole (Lecce)	01/09/2021	2021	Agost	28,0	A21	100	0	0	0	0				
E. crinita	Italy	Frigole (Lecce)	27/09/2021	2021	September	24,8	S21	100	0	0	0	0	100	0	0	
E. crinita	Italy	Frigole (Lecce)	28/10/2021	2021	October	20,3	O21	57	43	0	0	0	32	68	0	
E. crinita	Italy	Frigole (Lecce)		2021	November	17,3	N21						40	60	0	
E. crinita	Italy	Frigole (Lecce)	10/12/2021	2021	December 	12,8	D21	48	52	0	0	0				
E. crinita	Italy	Frigole (Lecce)	20/01/2022	2022	January 	11,5	J22	94	6	0	0	0	40	60	0	
E. crinita	Italy	Frigole (Lecce)		2022	February	11,1	F22						32	68	0	
E. crinita	Italy	Frigole (Lecce)		2022	March	12,5	M22						0	100	0	
E. crinita	Italy	Frigole (Lecce)		2022	April	15,9	A22						4	96	0	
E. crinita	Italy	Frigole (Lecce)	26/05/2022	2022	May	20,4	M22	0	90	10	0	0	0	100	0	
E. crinita	Italy	Frigole (Lecce)		2022	June		J22									
E. crinita	Italy	Frigole (Lecce)		2022	July		J22									
E. crinita	Italy	Frigole (Lecce)		2022	Agost		A22									
E. crinita	Italy	Frigole (Lecce)		2022	September		S22									
E. crinita	Italy	Frigole (Lecce)		2022	October		O22									
E. crinita	Italy	Frigole (Lecce)		2022	November		N22									
E. crinita	Italy	Frigole (Lecce)		2022	December 		D22									
E. crinita	Italy	Ischia (Napoli)		2020	January 		J20									
E. crinita	Italy	Ischia (Napoli)		2020	February		F20						100	0	0	
E. crinita	Italy	Ischia (Napoli)		2020	March		M20									
E. crinita	Italy	Ischia (Napoli)		2020	April		A20						100	0	0	
E. crinita	Italy	Ischia (Napoli)	22/05/2020	2020	May		M20	14	3	13	16	53	48	40	12	
E. crinita	Italy	Ischia (Napoli)	26/06/2020	2020	June		J20	82	16	2	0	0	53	33	13	
E. crinita	Italy	Ischia (Napoli)	24/07/2020	2020	July		J20	100	0	0	0	0	100	0	0	
E. crinita	Italy	Ischia (Napoli)		2020	Agost		A20									
E. crinita	Italy	Ischia (Napoli)	04/09/2020	2020	September	24,9	S20	100	0	0	0	0	100	0	0	
E. crinita	Italy	Ischia (Napoli)	02/10/2020	2020	October	21,8	O20	100	0	0	0	0				
E. crinita	Italy	Ischia (Napoli)	09/11/2020	2020	November	19,5	N20	100	0	0	0	0				
E. crinita	Italy	Ischia (Napoli)	17/12/2020	2020	December 		D20	83	16	1	0	0	56	36	8	
E. crinita	Italy	Ischia (Napoli)		2021	January 	16,1	J21						100	0	0	
E. crinita	Italy	Ischia (Napoli)	24/02/2021	2021	February	15,2	F21	69	25	7	0	0	40	52	8	
E. crinita	Italy	Ischia (Napoli)	23/03/2021	2021	March	15,1	M21	58	36	5	1	0	4	92	4	
E. crinita	Italy	Ischia (Napoli)	14/04/2021	2021	April	15,9	A21	13	15	26	25	22	8	32	60	
E. crinita	Italy	Ischia (Napoli)	11/05/2021	2021	May	18,8	M21	61	13	11	15	0				
E. crinita	Italy	Ischia (Napoli)	28/06/2021	2021	June	24,1	J21	75	17	9	0	0	44	36	20	
E. crinita	Italy	Ischia (Napoli)	21/07/2021	2021	July	26,6	J21	100	0	0	0	0				
E. crinita	Italy	Ischia (Napoli)		2021	Agost	27,2	A21									
E. crinita	Italy	Ischia (Napoli)	01/09/2021	2021	September	25,8	S21	100	0	0	0	0				
E. crinita	Italy	Ischia (Napoli)		2021	October	22,1	O21									
E. crinita	Italy	Ischia (Napoli)		2021	November	19,4	N21									
E. crinita	Italy	Ischia (Napoli)	16/12/2021	2021	December 	17,7	D21	100	0	0	0	0	100	0	0	
E. crinita	Italy	Ischia (Napoli)	28/01/2022	2022	January 		J22	88	10	2	0	0	100	0	0	
E. crinita	Italy	Ischia (Napoli)		2022	February		F22						48	44	8	
E. crinita	Italy	Ischia (Napoli)		2022	March		M22									
E. crinita	Italy	Ischia (Napoli)	12/04/2022	2022	April		A22	75	14	11	1	0				
E. crinita	Italy	Ischia (Napoli)	10/05/2022	2022	May		M22	49	23	25	3	0				
E. crinita	Italy	Ischia (Napoli)		2022	June		J22									
E. crinita	Italy	Ischia (Napoli)	01/07/2022	2022	July		J22	84	15	1	0	0				
E. crinita	Italy	Ischia (Napoli)		2022	Agost		A22									
E. crinita	Italy	Ischia (Napoli)		2022	September		S22									
E. crinita	Italy	Ischia (Napoli)		2022	October		O22						4	24	72	
E. crinita	Italy	Ischia (Napoli)		2022	November		N22									
E. crinita	Italy	Ischia (Napoli)		2022	December 		D22						0	56	44	
E. crinita	Spain	Port de la Selva		2020	January 	12,9	J20									
E. crinita	Spain	Port de la Selva		2020	February	13,4	F20									
E. crinita	Spain	Port de la Selva		2020	March		M20									
E. crinita	Spain	Port de la Selva	01/05/2020	2020	April		A20	64	33	3	0	0				
E. crinita	Spain	Port de la Selva	28/05/2020	2020	May	20,3	M20	0	39	44	17	0				
E. crinita	Spain	Port de la Selva	25/06/2020	2020	June	22,4	J20	12	11	28	30	19				
E. crinita	Spain	Port de la Selva	31/07/2020	2020	July	24,6	J20	10	14	24	32	20				
E. crinita	Spain	Port de la Selva	25/08/2020	2020	Agost	22,0	A20	92	8	0	0	0				
E. crinita	Spain	Port de la Selva	23/09/2020	2020	September	17,3	S20	48	37	14	1	0				
E. crinita	Spain	Port de la Selva	19/10/2020	2020	October	17,4	O20	39	36	23	2	0				
E. crinita	Spain	Port de la Selva		2020	November	15,6	N20									
E. crinita	Spain	Port de la Selva		2020	December 	13,7	D20									
E. crinita	Spain	Port de la Selva		2021	January 	12,0	J21									
E. crinita	Spain	Port de la Selva	04/02/2021	2021	February	13,2	F21	100	0	0	0	0				
E. crinita	Spain	Port de la Selva	24/03/2021	2021	March	12,7	M21	67	18	12	3	0				
E. crinita	Spain	Port de la Selva		2021	April	13,7	A21									
E. crinita	Spain	Port de la Selva	05/05/2021	2021	May	15,8	M21	29	18	23	21	9				
E. crinita	Spain	Port de la Selva	01/06/2021	2021	June	21,0	J21	24	19	28	25	4				
E. crinita	Spain	Port de la Selva	21/07/2021	2021	July	22,5	J21	34	16	18	19	12				
E. crinita	Spain	Port de la Selva	23/08/2021	2021	Agost	23,0	A21	100	0	0	0	0				
E. crinita	Spain	Port de la Selva		2021	September	22,4	S21									
E. crinita	Spain	Port de la Selva	05/10/2021	2021	October	18,5	O21	83	17	0	0	0				
E. crinita	Spain	Port de la Selva		2021	November	15,7	N21									
E. crinita	Spain	Port de la Selva	17/12/2021	2021	December 	13,0	D21	53	34	12	1	0				
E. crinita	Spain	Port de la Selva		2022	January 	10,5	J22									
E. crinita	Spain	Port de la Selva		2022	February	12,2	F22									
E. crinita	Spain	Port de la Selva		2022	March	12,8	M22									
E. crinita	Spain	Port de la Selva		2022	April	15,4	A22									
E. crinita	Spain	Port de la Selva		2022	May	21,6	M22									
E. crinita	Spain	Port de la Selva		2022	June	23,4	J22									
E. crinita	Spain	Port de la Selva		2022	July	26,6	J22									
E. crinita	Spain	Port de la Selva		2022	Agost	26,0	A22									
E. crinita	Spain	Port de la Selva		2022	September	23,2	S22									
E. crinita	Spain	Port de la Selva		2022	October	20,7	O22									
E. crinita	Spain	Port de la Selva		2022	November	17,8	N22									
E. crinita	Spain	Port de la Selva		2022	December 	14,4	D22									
E. crinita	Tunisia	Rimel (Bizerte)	19/01/2020	2020	January 		J20	100	0	0	0	0				
E. crinita	Tunisia	Rimel (Bizerte)	29/02/2020	2020	February		F20	100	0	0	0	0				
E. crinita	Tunisia	Rimel (Bizerte)		2020	March		M20									
E. crinita	Tunisia	Rimel (Bizerte)		2020	April		A20									
E. crinita	Tunisia	Rimel (Bizerte)		2020	May		M20									
E. crinita	Tunisia	Rimel (Bizerte)	15/06/2020	2020	June		J20	45	55	0	0	0				
E. crinita	Tunisia	Rimel (Bizerte)	22/07/2020	2020	July		J20	35	65	0	0	0				
E. crinita	Tunisia	Rimel (Bizerte)	27/08/2020	2020	Agost		A20	20	80	0	0	0				
E. crinita	Tunisia	Rimel (Bizerte)	04/09/2020	2020	September		S20	25	75	0	0	0				
E. crinita	Tunisia	Rimel (Bizerte)	15/10/2020	2020	October		O20	75	25	0	0	0				
E. crinita	Tunisia	Rimel (Bizerte)	04/11/2020	2020	November		N20	100	0	0	0	0				
E. crinita	Tunisia	Rimel (Bizerte)	14/12/2020	2020	December 		D20	100	0	0	0	0				
E. crinita	Tunisia	Rimel (Bizerte)		2021	January 		J21									
E. crinita	Tunisia	Rimel (Bizerte)		2021	February		F21									
E. crinita	Tunisia	Rimel (Bizerte)	21/3/2021	2021	March		M21	98	2	0	0	0	100	0	0	
