Species	Country	Locality	Date	Year	Month	Temperature	Código	F0 (%)	F1 (%)	F2 (%)	F3 (%)	F4 (%)	M0 (%)	M1(%)	M2 (%)
G. barbata	Italy	Chioggia		2020	January 		J20								
G. barbata	Italy	Chioggia	06/02/2020	2020	February		F20	48	15	13	14	10			
G. barbata	Italy	Chioggia		2020	March		M20								
G. barbata	Italy	Chioggia		2020	April		A20								
G. barbata	Italy	Chioggia	04/05/2020	2020	May		M20	3	3	2	15	77			
G. barbata	Italy	Chioggia	24/06/2020	2020	June		J20	1	1	14	54	30			
G. barbata	Italy	Chioggia	13/07/2020	2020	July		J20	11	26	38	25	0			
G. barbata	Italy	Chioggia		2020	Agost		A20								
G. barbata	Italy	Chioggia	10/09/2020	2020	September	23,5	S20	100	0	0	0	0			
G. barbata	Italy	Chioggia	26/10/2020	2020	October	17,9	O20	100	0	0	0	0			
G. barbata	Italy	Chioggia	12/11/2020	2020	November	13,7	N20	100	0	0	0	0			
G. barbata	Italy	Chioggia	10/12/2020	2020	December 	10,2	D20	100	0	0	0	0			
G. barbata	Italy	Chioggia	21/01/2021	2021	January 	7,7	J21	18	27	43	12	0			
G. barbata	Italy	Chioggia		2021	February	8,7	F21								
G. barbata	Italy	Chioggia	05/03/2021	2021	March	10,8	M21	11	7	11	30	41			
G. barbata	Italy	Chioggia	09/04/2021	2021	April	13,6	A21	8	5	9	16	62			
G. barbata	Italy	Chioggia	07/05/2021	2021	May	17,5	M21	7	15	22	35	21			
G. barbata	Italy	Chioggia	18/06/2021	2021	June	22,7	J21	9	23	24	43	1			
G. barbata	Italy	Chioggia	12/07/2021	2021	July	25,6	J21	18	40	19	22	1			
G. barbata	Italy	Chioggia	06/08/2021	2021	Agost	26,1	A21	100	0	0	0	0			
G. barbata	Italy	Chioggia	06/09/2021	2021	September	23,4	S21	100	0	0	0	0			
G. barbata	Italy	Chioggia	15/10/2021	2021	October	17,4	O21	100	0	0	0	0			
G. barbata	Italy	Chioggia	09/11/2021	2021	November	12,8	N21	100	0	0	0	0			
G. barbata	Italy	Chioggia	13/12/2021	2021	December 	9,3	D21	91	9	0	0	0			
G. barbata	Italy	Chioggia		2022	January 		J22								
G. barbata	Italy	Chioggia		2022	February		F22								
G. barbata	Italy	Chioggia		2022	March		M22								
G. barbata	Italy	Chioggia		2022	April		A22								
G. barbata	Italy	Chioggia		2022	May		M22								
G. barbata	Italy	Chioggia		2022	June		J22								
G. barbata	Italy	Chioggia		2022	July		J22								
G. barbata	Italy	Chioggia		2022	Agost		A22								
G. barbata	Italy	Chioggia		2022	September		S22								
G. barbata	Italy	Chioggia		2022	October		O22								
G. barbata	Italy	Chioggia		2022	November		N22								
G. barbata	Italy	Chioggia		2022	December 		D22								
															
G. barbata	Italy	Piscinetta del Passetto (Ancona)		2020	January 		J20								
G. barbata	Italy	Piscinetta del Passetto (Ancona)	21/02/2020	2020	February		F20	36	6	6	36	16	36	48	16
G. barbata	Italy	Piscinetta del Passetto (Ancona)		2020	March		M20								
G. barbata	Italy	Piscinetta del Passetto (Ancona)		2020	April		A20								
G. barbata	Italy	Piscinetta del Passetto (Ancona)	25/05/2020	2020	May		M20	40	10	5	30	15	40	45	15
G. barbata	Italy	Piscinetta del Passetto (Ancona)	26/06/2020	2020	June		J20	100	0	0	0	0	60	40	0
G. barbata	Italy	Piscinetta del Passetto (Ancona)	22/07/2020	2020	July		J20	100	0	0	0	0	100	0	0
G. barbata	Italy	Piscinetta del Passetto (Ancona)		2020	Agost		A20								
G. barbata	Italy	Piscinetta del Passetto (Ancona)	03/09/2020	2020	September		S20	100	0	0	0	0	100	0	0
G. barbata	Italy	Piscinetta del Passetto (Ancona)	01/10/2020	2020	October	18,9	O20	100	0	0	0	0	100	0	0
G. barbata	Italy	Piscinetta del Passetto (Ancona)	29/10/2020	2020	November	15,3	N20	100	0	0	0	0	100	0	0
G. barbata	Italy	Piscinetta del Passetto (Ancona)	16/12/2020	2020	December 	11,8	D20	100	0	0	0	0	100	0	0
G. barbata	Italy	Piscinetta del Passetto (Ancona)	19/01/2021	2021	January 	9,3	J21	0	0	0	0	0	0	55	45
G. barbata	Italy	Piscinetta del Passetto (Ancona)	18/02/2021	2021	February	9,6	F21	0	0	0	0	0	0	45	55
G. barbata	Italy	Piscinetta del Passetto (Ancona)	17/03/2021	2021	March	11,1	M21	0	0	20	40	40	0	30	70
G. barbata	Italy	Piscinetta del Passetto (Ancona)	16/04/2021	2021	April	13,8	A21	0	0	15	5	80	13,63636364	27,27272727	59,09090909
G. barbata	Italy	Piscinetta del Passetto (Ancona)	10/05/2021	2021	May	17,8	M21	0	21	26	53	0	52,77777778	8,333333333	38,88888889
G. barbata	Italy	Piscinetta del Passetto (Ancona)	11/06/2021	2021	June	21,9	J21	58	42	0	0	0	86,36363636	9,090909091	4,545454545
G. barbata	Italy	Piscinetta del Passetto (Ancona)	12/07/2021	2021	July		J21	100	0	0	0	0	100	0	0
G. barbata	Italy	Piscinetta del Passetto (Ancona)	05/08/2021	2021	Agost		A21	100	0	0	0	0	100	0	0
G. barbata	Italy	Piscinetta del Passetto (Ancona)	09/09/2021	2021	September		S21	46	46	8	0	0	41,66666667	16,66666667	41,66666667
G. barbata	Italy	Piscinetta del Passetto (Ancona)	13/10/2021	2021	October		O21	0	85	15	0	0	0	53,84615385	46,15384615
G. barbata	Italy	Piscinetta del Passetto (Ancona)	12/11/2021	2021	November		N21	0	36	43	7	14	0	35,71428571	64,28571429
G. barbata	Italy	Piscinetta del Passetto (Ancona)		2021	December 		D21								
G. barbata	Italy	Piscinetta del Passetto (Ancona)	16/02/2022	2022	January 		J22	9	0	18	45	27			
G. barbata	Italy	Piscinetta del Passetto (Ancona)	14/03/2022	2022	February		F22	11	0	0	44	44	9,090909091	54,54545455	36,36363636
G. barbata	Italy	Piscinetta del Passetto (Ancona)	08/04/2022	2022	March		M22	11	0	0	11	78	11,11111111	55,55555556	33,33333333
G. barbata	Italy	Piscinetta del Passetto (Ancona)	20/05/2022	2022	April		A22	13	0	0	0	88	20	30	50
G. barbata	Italy	Piscinetta del Passetto (Ancona)	08/06/2022	2022	May		M22	13	0	0	0	88	80	8	12
G. barbata	Italy	Piscinetta del Passetto (Ancona)	06/07/2022	2022	June		J22	100	0	0	0	0	100	0	0
G. barbata	Italy	Piscinetta del Passetto (Ancona)		2022	July		J22						100	0	0
G. barbata	Italy	Piscinetta del Passetto (Ancona)		2022	Agost		A22								
G. barbata	Italy	Piscinetta del Passetto (Ancona)		2022	September		S22								
G. barbata	Italy	Piscinetta del Passetto (Ancona)		2022	October		O22								
G. barbata	Italy	Piscinetta del Passetto (Ancona)		2022	November		N22								
G. barbata	Italy	Piscinetta del Passetto (Ancona)		2022	December 		D22								
															
G. barbata	Italy	Scalinata del Passetto di Ancona		2020	January 		J20								
G. barbata	Italy	Scalinata del Passetto di Ancona		2020	February		F20								
G. barbata	Italy	Scalinata del Passetto di Ancona		2020	March		M20								
G. barbata	Italy	Scalinata del Passetto di Ancona		2020	April		A20								
G. barbata	Italy	Scalinata del Passetto di Ancona	04/05/2020	2020	May		M20	28	6	0	0	67	28	6	67
G. barbata	Italy	Scalinata del Passetto di Ancona	26/06/2020	2020	June		J20	42	0	0	26	32	42	26	32
G. barbata	Italy	Scalinata del Passetto di Ancona	22/07/2020	2020	July		J20	84	0	0	0	16	84	0	16
G. barbata	Italy	Scalinata del Passetto di Ancona		2020	Agost		A20								
G. barbata	Italy	Scalinata del Passetto di Ancona	03/09/2020	2020	September		S20	100	0	0	0	0	100	0	0
G. barbata	Italy	Scalinata del Passetto di Ancona	01/10/2020	2020	October	19,0	O20	100	0	0	0	0	100	0	0
G. barbata	Italy	Scalinata del Passetto di Ancona	29/11/2020	2020	November	15,4	N20	100	0	0	0	0	100	0	0
G. barbata	Italy	Scalinata del Passetto di Ancona	16/12/2020	2020	December 	11,8	D20	100	0	0	0	0	100	0	0
G. barbata	Italy	Scalinata del Passetto di Ancona	19/01/2021	2021	January 	9,3	J21	100	0	0	0	0	100	0	0
G. barbata	Italy	Scalinata del Passetto di Ancona	19/02/2021	2021	February	9,5	F21	100	0	0	0	0	100	0	0
G. barbata	Italy	Scalinata del Passetto di Ancona	25/03/2021	2021	March	11,1	M21	100	0	0	0	0	86	14	0
