Population	Species	Date	Month	Quadrat	Cauloid_size	Leaf_size	Fertility	Comments
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	1	9	11	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	1	6	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	1	5	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	1	5	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	1	4	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	1	6	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	1	6	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	1	8	8.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	2	5	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	2	7	8	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	2	4	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	2	10	13	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	2	7	8	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	2	5	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	2	2	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	3	4.5	4.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	3	3.5	3.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	3	5.5	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	3	5	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	3	2	4.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	3	8	9	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	3	3	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	4	8	10.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	4	4.5	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	4	5	7.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	4	7	11	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	4	3	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	4	5	7.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	4	2	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	4	4	4	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	5	6	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	5	3	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	5	6	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	5	3	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	5	5	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	5	7	8	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	5	3	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	5	2	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	6	9	10	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	6	4	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	6	6	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	6	5	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	6	6	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	6	8	1	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	6	6	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	6	5	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	6	3	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	6	4	4	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	7	6	7.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	7	9	9	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	7	8.5	9	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	7	6.5	8.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	7	3.5	4	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	7	6	7	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	7	3.5	4.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	7	5.8	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	2	2	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	2	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	4	8	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	3.5	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	2.5	4	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	3	5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	1	2	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	2	2	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	3.5	4	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	2.5	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	7	9	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	3.5	6	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	6	8	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	1	1	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	8	3	5.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	3	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	2	2	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	3	4	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	2.5	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	2	2	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	2	2	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	4	5.5	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	2	3	0	
Cala Estreta	Cystoseira mediterranea	2/4/2020	February	9	3	3	0	
