Population	Species	Date	Month	Subpopulation	Quadrat	Cauloid_size (cm)	Fertility (0-4)	Leaf_size (cm)	Comments
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	1	8.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	2	5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	2	9.5	2		
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	3	5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	3	6			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	4	4.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	4	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	4	4	2		
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	5	9			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	5	10			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	5	4.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	5	11			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	6	11.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	6	12.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	6	14			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	6	10			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	7	9			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	8	6			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	9	0.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	9	0.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	9	2			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	9	4			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	9	1			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	10	3			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	11	10			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	11	13			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	12	3			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	12	2.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	12	3.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	13	4.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	13	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	14	2.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	14	6.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	14	7			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	14	2			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	14	1.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	15	8.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	15	3.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	15	5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	15	6			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	15	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	15				
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	16	4			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	16	5.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	17	7.2			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	17	11			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	17	7			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	17	11			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	17	12.56			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	17	10.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	17	11			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	17	14			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	17	7			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	17	6.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	18	3			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	18	2			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	18	4.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	18	8.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	18	9			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	18	7			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	18	10.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	18	8			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	18	4			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	19	4.5			
Cala Estreta	Cystoseira crinita	2/4/2020	February	Sud 1	19	5			
